mbar,dt,seed,slope,k,gamma,sV
16,1,101,0.033,34,10.0,4.23
16,1,102,0.102,32,10.5,2.17
16,1,103,1.072,0,58.17,24.0
16,1,104,-0.095,5,31.6,15.6
16,1,105,-0.06,19,18.7,8.0
16,1,106,-0.04,36,10.97,5.27
16,1,107,3.651,46,5.0,1.07
16,1,108,0.264,30,30.1,25.73
16,1,109,-0.044,26,11.63,3.67
16,1,110,4.622,45,6.0,2.47
16,1,111,-0.028,12,18.7,8.73
16,1,112,0.172,7,31.8,11.37
16,1,113,5.188,46,5.0,1.6
16,1,114,0.495,0,48.4,15.33
16,1,115,6.694,46,4.0,1.27
16,1,116,0.042,11,22.6,10.77
16,1,117,0.83,46,6.0,1.33
16,1,118,-0.616,46,8.0,3.23
16,1,119,-0.049,31,10.53,4.2
16,1,120,-0.016,25,13.1,4.5
16,2,101,0.011,27,10.0,4.6
16,2,102,-0.285,30,9.47,2.43
16,2,103,0.032,0,73.03,31.37
16,2,104,0.06,11,27.1,12.63
16,2,105,-0.483,31,16.43,7.5
16,2,106,-0.139,29,13.1,5.37
16,2,107,3.49,46,5.0,1.4
16,2,108,-0.308,44,29.83,24.9
16,2,109,0.221,24,10.37,3.6
16,2,110,1.972,46,7.0,3.0
16,2,111,0.184,15,17.47,7.37
16,2,112,-0.063,10,23.07,9.37
16,2,113,5.961,46,5.0,1.97
16,2,114,-0.384,1,44.87,16.83
16,2,115,6.004,46,4.0,1.0
16,2,116,0.145,10,23.4,11.17
16,2,117,-0.355,46,6.0,1.37
16,2,118,-0.37,41,8.0,2.5
16,2,119,0.112,21,16.97,4.87
16,2,120,-0.114,27,12.17,5.97
16,4,101,-0.343,31,10.0,5.23
16,4,102,-0.442,29,8.07,2.4
16,4,103,-0.859,2,58.43,24.83
16,4,104,-0.073,14,22.03,6.83
16,4,105,-1.166,34,13.67,6.57
16,4,106,-2.791,39,10.7,3.53
16,4,107,3.95,46,5.0,1.57
16,4,108,-0.362,32,27.8,23.37
16,4,109,-0.305,28,10.37,3.67
16,4,110,4.084,46,6.0,2.37
16,4,111,0.0,14,25.27,10.4
16,4,112,-0.045,14,25.67,9.13
16,4,113,5.553,46,5.0,2.0
16,4,114,-0.214,5,52.43,21.93
16,4,115,4.682,46,4.0,0.73
16,4,116,-0.019,15,23.1,6.97
16,4,117,-0.089,46,6.0,1.63
16,4,118,-0.658,39,8.47,4.1
16,4,119,-0.325,19,13.53,4.67
16,4,120,-0.57,23,13.23,4.1
16,8,101,-1.906,26,10.0,4.27
16,8,102,-2.657,31,8.37,2.17
16,8,103,0.0,7,48.93,19.53
16,8,104,-0.732,10,28.23,12.27
16,8,105,-1.227,22,14.23,6.37
16,8,106,-2.906,40,8.0,4.43
16,8,107,-0.386,46,5.0,1.6
16,8,108,-1.439,17,26.8,24.13
16,8,109,-1.227,19,12.97,3.8
16,8,110,-1.166,46,6.0,2.3
16,8,111,-0.731,14,20.9,7.9
16,8,112,-0.669,13,28.73,7.77
16,8,113,-0.359,46,5.0,1.7
16,8,114,0.0,8,48.83,16.07
16,8,115,1.416,46,4.0,0.97
16,8,116,-0.65,16,15.77,5.13
16,8,117,-3.345,44,6.0,1.8
16,8,118,-2.24,33,8.9,3.43
16,8,119,-0.809,17,17.63,4.43
16,8,120,-1.223,20,13.73,4.9
20,1,101,0.135,44,10.27,4.03
20,1,102,-0.67,45,7.9,1.63
20,1,103,-0.851,0,61.2,15.3
20,1,104,0.077,11,25.6,12.77
20,1,105,0.125,41,12.33,7.23
20,1,106,2.491,46,7.97,2.57
20,1,107,6.887,46,5.0,1.07
20,1,108,-1.422,39,32.0,25.77
20,1,109,-0.028,33,13.0,3.97
20,1,110,4.297,46,6.93,2.03
20,1,111,-0.095,21,17.3,7.2
20,1,112,-0.053,13,26.27,10.73
20,1,113,8.477,46,5.0,1.3
20,1,114,-0.408,1,41.3,13.2
20,1,115,8.702,46,4.0,0.47
20,1,116,-0.32,16,23.23,8.4
20,1,117,4.121,46,6.0,1.07
20,1,118,2.306,46,8.0,2.37
20,1,119,-0.075,30,15.33,4.4
20,1,120,0.058,36,12.27,4.77
20,2,101,-0.483,35,10.77,2.5
20,2,102,-4.179,42,9.93,1.9
20,2,103,0.471,2,49.27,25.73
20,2,104,0.033,16,23.8,10.33
20,2,105,-0.51,32,14.8,8.1
20,2,106,-0.436,46,8.0,1.93
20,2,107,6.257,46,5.0,1.1
20,2,108,-0.634,30,30.8,25.6
20,2,109,-0.257,27,13.03,4.27
20,2,110,5.093,46,6.0,1.87
20,2,111,-0.098,16,23.4,8.6
20,2,112,-0.077,12,32.2,13.63
20,2,113,7.681,46,5.0,1.2
20,2,114,0.093,5,42.73,18.27
20,2,115,8.882,46,4.0,0.77
20,2,116,0.408,17,26.37,11.6
20,2,117,3.119,46,6.0,0.87
20,2,118,-0.846,46,9.0,3.17
20,2,119,-0.296,28,14.07,5.6
20,2,120,-0.028,29,14.73,5.5
20,4,101,0.041,42,10.0,4.53
20,4,102,-1.348,39,9.47,2.0
20,4,103,-0.631,4,68.5,35.2
20,4,104,-0.047,15,29.27,9.53
20,4,105,-0.784,32,15.27,6.5
20,4,106,-4.737,38,13.83,3.1
20,4,107,5.45,46,5.0,1.07
20,4,108,-0.407,36,30.37,25.0
20,4,109,-0.123,30,11.13,3.3
20,4,110,5.857,46,6.0,1.77
20,4,111,-0.633,17,19.53,6.9
20,4,112,-0.308,17,29.67,9.43
20,4,113,7.8,46,5.0,1.53
20,4,114,0.0,13,41.3,16.07
20,4,115,8.496,46,4.0,0.8
20,4,116,-0.117,16,22.7,5.67
20,4,117,2.713,46,6.0,0.87
20,4,118,0.786,46,8.0,2.1
20,4,119,-0.646,26,16.2,5.3
20,4,120,-0.364,32,11.77,4.23
20,8,101,-2.992,34,10.07,4.77
20,8,102,-3.613,35,8.7,1.97
20,8,103,-0.013,7,38.1,18.7
20,8,104,-0.87,14,24.53,8.77
20,8,105,-2.068,31,13.17,6.6
20,8,106,-5.389,45,7.87,2.3
20,8,107,1.434,46,5.0,1.03
20,8,108,-2.414,29,24.9,20.67
20,8,109,-2.257,27,11.0,3.6
20,8,110,-0.49,46,7.0,2.27
20,8,111,-1.283,16,18.2,6.83
20,8,112,-0.741,14,26.8,7.63
20,8,113,0.604,46,5.0,1.17
20,8,114,-0.465,10,47.3,17.53
20,8,115,2.724,46,4.0,0.5
20,8,116,-1.261,18,25.0,4.93
20,8,117,-2.616,46,6.0,0.9
20,8,118,-2.952,36,9.0,3.9
20,8,119,-2.843,28,20.93,4.07
20,8,120,-2.18,27,13.47,5.33
26,1,101,-1.067,46,10.2,2.9
26,1,102,-0.376,46,9.03,0.9
26,1,103,-0.402,1,59.9,17.93
26,1,104,-0.368,14,37.27,15.93
26,1,105,-1.543,38,18.6,6.2
26,1,106,7.594,46,7.07,1.2
26,1,107,11.888,46,5.0,0.67
26,1,108,1.155,46,27.93,20.7
26,1,109,0.169,45,12.23,4.53
26,1,110,9.979,46,6.0,1.17
26,1,111,0.005,25,19.73,5.17
26,1,112,0.291,16,31.97,12.23
26,1,113,13.055,46,5.0,1.07
26,1,114,-0.65,7,43.57,20.03
26,1,115,15.683,46,4.0,0.7
26,1,116,0.046,19,25.4,6.17
26,1,117,7.795,46,6.0,0.5
26,1,118,2.162,46,9.6,2.2
26,1,119,-0.168,40,14.8,4.07
26,1,120,-0.279,42,14.33,5.37
26,2,101,-0.203,46,10.0,2.6
26,2,102,-0.22,46,9.07,0.7
26,2,103,-0.545,5,53.93,28.6
26,2,104,-0.156,15,39.07,18.93
26,2,105,-2.382,38,19.3,7.27
26,2,106,5.263,46,7.37,1.03
26,2,107,11.097,46,5.0,0.57
26,2,108,0.36,38,31.6,26.17
26,2,109,-0.338,36,13.4,3.93
26,2,110,11.842,46,6.0,1.6
26,2,111,-0.056,25,18.63,6.2
26,2,112,-0.035,17,31.73,10.17
26,2,113,12.897,46,5.0,1.17
26,2,114,-0.429,7,57.9,23.4
26,2,115,13.527,46,4.0,0.47
26,2,116,-0.159,28,18.87,5.87
26,2,117,7.772,46,6.0,0.67
26,2,118,0.642,46,9.0,1.23
26,2,119,-1.511,40,12.8,4.4
26,2,120,-0.492,38,13.3,5.03
26,4,101,-2.888,45,10.0,2.63
26,4,102,-0.779,46,8.4,0.7
26,4,103,-0.726,6,75.83,30.9
26,4,104,-0.432,20,23.33,9.67
26,4,105,-3.703,45,13.33,5.07
26,4,106,3.021,46,8.0,1.47
26,4,107,10.817,46,5.0,0.73
26,4,108,-0.847,42,30.23,23.57
26,4,109,-0.929,31,13.13,4.0
26,4,110,8.189,46,7.0,1.7
26,4,111,-0.784,20,21.7,7.9
26,4,112,-0.18,19,27.03,8.73
26,4,113,11.494,46,5.0,1.2
26,4,114,0.793,12,51.47,20.33
26,4,115,13.634,46,4.0,0.43
26,4,116,-0.974,24,23.07,6.4
26,4,117,6.012,46,6.0,0.3
26,4,118,-0.004,46,9.0,1.5
26,4,119,-1.143,33,13.8,4.53
26,4,120,-1.608,38,13.2,3.77
26,8,101,-6.91,41,10.0,2.87
26,8,102,-3.361,46,7.0,0.33
26,8,103,-0.885,9,66.4,20.93
26,8,104,-1.738,19,22.53,10.4
26,8,105,-6.918,36,16.47,5.33
26,8,106,-0.453,46,7.0,1.4
26,8,107,4.335,46,5.0,0.7
26,8,108,-3.613,37,26.0,20.9
26,8,109,-4.515,36,12.0,3.27
26,8,110,0.719,46,6.5,1.4
26,8,111,-2.361,22,18.27,7.27
26,8,112,-1.885,21,25.13,8.53
26,8,113,5.737,46,5.0,1.03
26,8,114,-0.787,13,43.67,16.17
26,8,115,6.8,46,4.0,0.33
26,8,116,-2.607,25,20.7,4.67
26,8,117,4.806,46,4.53,0.3
26,8,118,-7.646,42,11.4,3.57
26,8,119,-6.025,42,10.2,2.8
26,8,120,-3.719,33,14.73,4.1
32,1,101,2.702,46,10.47,1.6
32,1,102,9.924,46,7.07,0.3
32,1,103,-0.693,2,64.13,13.53
32,1,104,0.038,28,24.13,7.6
32,1,105,-1.105,46,14.0,4.0
32,1,106,-2.916,46,12.83,2.03
32,1,107,17.173,46,5.0,0.5
32,1,108,0.321,45,21.4,12.53
32,1,109,-1.192,46,13.0,3.3
32,1,110,13.883,46,6.67,1.07
32,1,111,0.257,39,17.27,5.87
32,1,112,-0.468,20,33.7,9.47
32,1,113,18.922,46,5.0,1.03
32,1,114,-0.554,8,44.43,8.9
32,1,115,20.323,46,4.0,0.37
32,1,116,-0.305,33,22.33,8.73
32,1,117,12.76,46,6.0,0.27
32,1,118,6.017,46,9.0,1.1
32,1,119,1.468,46,11.33,2.23
32,1,120,-5.032,45,14.87,2.97
32,2,101,2.859,46,10.0,1.5
32,2,102,10.038,46,7.4,0.6
32,2,103,0.01,8,47.5,18.23
32,2,104,0.118,27,24.13,11.33
32,2,105,-2.751,46,14.37,3.9
32,2,106,10.786,46,7.03,0.73
32,2,107,16.863,46,5.0,0.5
32,2,108,-1.109,44,30.33,21.67
32,2,109,-3.911,44,14.07,3.3
32,2,110,15.636,46,6.0,1.1
32,2,111,-0.178,27,21.6,6.7
32,2,112,0.267,26,32.47,13.5
32,2,113,18.038,46,5.0,0.73
32,2,114,-0.367,12,49.2,13.63
32,2,115,19.749,46,4.0,0.4
32,2,116,-0.582,31,20.47,5.97
32,2,117,12.991,46,6.0,0.3
32,2,118,7.526,46,8.67,1.57
32,2,119,-3.618,45,12.57,2.77
32,2,120,-3.808,45,13.23,2.87
32,4,101,1.996,46,10.0,1.37
32,4,102,2.395,46,9.0,0.7
32,4,103,-0.676,9,67.3,29.23
32,4,104,-0.392,26,23.73,6.57
32,4,105,-5.929,43,17.17,6.57
32,4,106,2.507,46,9.5,1.1
32,4,107,16.788,46,5.0,0.6
32,4,108,0.937,46,28.03,20.33
32,4,109,-2.744,46,12.0,2.53
32,4,110,13.749,46,6.0,1.07
32,4,111,-1.08,29,17.77,6.37
32,4,112,-0.558,20,31.97,11.37
32,4,113,17.217,46,5.0,0.9
32,4,114,0.151,15,60.43,12.2
32,4,115,18.446,46,4.0,0.33
32,4,116,-1.119,31,20.5,4.9
32,4,117,10.493,46,6.0,0.33
32,4,118,5.011,46,9.0,1.0
32,4,119,-4.524,44,13.9,3.13
32,4,120,-2.619,46,12.03,2.77
32,8,101,-5.442,46,10.33,1.93
32,8,102,1.138,46,7.33,0.43
32,8,103,-1.557,12,53.0,21.77
32,8,104,-2.405,20,28.97,15.5
32,8,105,-7.137,34,18.5,5.5
32,8,106,-5.558,46,10.57,1.3
32,8,107,7.497,46,5.0,0.47
32,8,108,-6.365,38,27.9,19.43
32,8,109,-8.202,42,12.53,3.0
32,8,110,6.698,46,6.0,1.27
32,8,111,-3.314,26,20.13,6.2
32,8,112,-3.508,24,25.5,8.1
32,8,113,9.725,46,5.0,0.7
32,8,114,-1.724,14,51.67,17.93
32,8,115,11.468,46,4.0,0.47
32,8,116,-3.568,27,22.73,5.37
32,8,117,3.929,46,6.0,0.33
32,8,118,-0.681,46,8.0,1.07
32,8,119,-7.735,37,14.77,2.83
32,8,120,-9.408,41,13.0,3.63
40,1,101,10.462,46,10.03,1.03
40,1,102,11.961,46,9.0,0.53
40,1,103,-0.161,9,56.83,26.57
40,1,104,0.067,36,26.83,10.87
40,1,105,-8.161,46,19.2,4.27
40,1,106,16.541,46,7.9,0.53
40,1,107,24.968,46,5.0,0.43
40,1,108,-1.249,46,29.3,18.17
40,1,109,4.615,46,12.3,1.37
40,1,110,22.809,46,6.0,0.77
40,1,111,-0.004,45,19.7,6.4
40,1,112,-0.328,29,35.6,14.93
40,1,113,25.376,46,5.0,0.53
40,1,114,0.734,16,44.23,18.1
40,1,115,27.956,46,4.0,0.23
40,1,116,-4.41,45,18.9,5.03
40,1,117,20.49,46,6.0,0.2
40,1,118,4.123,46,12.73,1.6
40,1,119,1.789,46,12.67,1.33
40,1,120,1.91,46,13.67,2.13
40,2,101,9.333,46,10.0,0.63
40,2,102,13.689,46,7.87,0.23
40,2,103,0.293,10,62.1,27.27
40,2,104,1.086,39,16.33,4.93
40,2,105,-1.039,46,15.2,2.83
40,2,106,10.216,46,10.0,0.97
40,2,107,24.53,46,5.0,0.5
40,2,108,-5.191,45,27.73,14.47
40,2,109,4.002,46,12.0,1.37
40,2,110,22.858,46,6.0,1.0
40,2,111,-0.288,38,18.67,6.73
40,2,112,-0.653,32,26.63,11.3
40,2,113,25.096,46,5.0,0.7
40,2,114,0.41,18,45.7,17.63
40,2,115,27.143,46,4.0,0.2
40,2,116,-1.382,33,22.0,6.7
40,2,117,19.615,46,6.0,0.2
40,2,118,12.374,46,9.73,1.03
40,2,119,3.477,46,12.1,1.3
40,2,120,1.318,46,13.0,1.87
40,4,101,8.651,46,10.0,0.9
40,4,102,4.347,46,11.0,0.57
40,4,103,0.0,14,57.73,11.3
40,4,104,2.491,39,17.8,7.57
40,4,105,-3.019,46,15.63,3.07
40,4,106,16.888,46,7.17,0.47
40,4,107,23.217,46,5.0,0.47
40,4,108,-3.986,46,26.97,15.13
40,4,109,-2.224,46,13.7,1.27
40,4,110,18.779,46,7.0,0.93
40,4,111,-0.99,32,20.7,7.13
40,4,112,-2.512,34,27.93,9.83
40,4,113,24.804,46,5.0,0.77
40,4,114,-1.303,19,35.1,9.3
40,4,115,25.934,46,4.0,0.17
40,4,116,-2.824,38,18.97,4.6
40,4,117,19.853,46,6.0,0.23
40,4,118,11.277,46,9.0,0.9
40,4,119,2.422,46,11.63,0.87
40,4,120,-0.566,46,13.0,1.63
40,8,101,-2.467,46,10.0,0.87
40,8,102,5.992,46,7.17,0.17
40,8,103,-1.139,12,58.43,25.0
40,8,104,-5.277,29,26.43,11.7
40,8,105,-10.251,46,14.5,2.6
40,8,106,-3.121,46,11.0,1.13
40,8,107,14.019,46,5.0,0.5
40,8,108,-7.935,38,31.4,20.63
40,8,109,-9.309,46,12.97,1.73
40,8,110,10.909,46,6.0,0.8
40,8,111,-5.093,34,16.27,6.27
40,8,112,-6.341,32,27.73,9.27
40,8,113,14.744,46,5.0,0.73
40,8,114,-2.576,20,43.87,16.77
40,8,115,16.587,46,4.0,0.3
40,8,116,-7.416,34,20.13,4.57
40,8,117,12.769,46,4.87,0.2
40,8,118,4.823,46,7.2,0.63
40,8,119,-7.244,46,12.0,1.2
40,8,120,-8.825,46,12.8,1.6
